Address,Building Name,Zip Code,Bed,Bath,Avg SF,# Units,Mix %,Units Available Units,Units Available Percent,Avg Asking Rent/Unit,Avg Asking Rent/SF,Avg Effective Rent/Unit,Avg Effective Rent/SF,Concessions %,Year Built,Year Renovated,Units,Lande (Acres),Vacancy %,Washer/Dryer,Walk in Closet,Hardwood/Vinyl Floor,Walk Score,Transit Score,1 Mile Population,1 Mile Median Household Income,Miles from Domain,Miles from Downtown,
507 Pressler St , Pressler,78703,2,2,1328,9,5.40%,0,0.00%,2590.00,1.95,2570.00,1.94,0.008,2009,2009,168,0.63,6.60%,Yes in unit,1,1,83,52,16489,103851,13.1,1.9,
507 Pressler St , Pressler,78703,2,2,1370,9,5.40%,2,22.20%,3447.00,2.52,3420.00,2.50,0.008,2009,2009,168,0.63,6.60%,Yes in unit,1,1,83,52,16489,103851,13.1,1.9,
507 Pressler St , Pressler,78703,2,2,1646,9,5.40%,0,0.00%,3253.00,1.98,3227.00,1.96,0.008,2009,2009,168,0.63,6.60%,Yes in unit,1,1,83,52,16489,103851,13.1,1.9,
1221 Chisholm Valley Dr , Westwind,78681,1,1,502,34,27.00%,1,2.90%,925.00,1.84,919.00,1.83,0.006,1985,1985,126,6.34,4.80%,Yes in unit,1,0,33,0,12493,61090,7.7,17.7,
1221 Chisholm Valley Dr , Westwind,78681,1,1,627,33,26.20%,1,3.00%,1025.00,1.63,1019.00,1.62,0.006,1985,1985,126,6.34,4.80%,Yes in unit,1,0,33,0,12493,61090,7.7,17.7,
1221 Chisholm Valley Dr , Westwind,78681,2,1,799,33,26.20%,1,3.00%,900.00,1.13,894.00,1.12,0.006,1985,1985,126,6.34,4.80%,Yes in unit,1,0,33,0,12493,61090,7.7,17.7,
1221 Chisholm Valley Dr , Westwind,78681,2,2,930,16,12.70%,2,12.50%,1120.00,1.20,1113.00,1.20,0.006,1985,1985,126,6.34,4.80%,Yes in unit,1,0,33,0,12493,61090,7.7,17.7,
1221 Chisholm Valley Dr , Westwind,78681,2,2,1089,10,7.90%,1,10.00%,1150.00,1.06,1143.00,1.05,0.006,1985,1985,126,6.34,4.80%,Yes in unit,1,0,33,0,12493,61090,7.7,17.7,
1338 Christopher Ave , Rock Springs Duplexes,78681,3,2,968,32,21.10%,1,3.10%,1382.00,1.43,1382.00,1.43,0.000,1985,1985,152,14.00,7.20%,Yes in unit,0,1,32,0,12070,61243,7.6,17.9,
1338 Christopher Ave , Rock Springs Duplexes,78681,3,2,989,30,19.70%,5,16.70%,1347.00,1.36,1347.00,1.36,0.000,1985,1985,152,14.00,7.20%,Yes in unit,0,1,32,0,12070,61243,7.6,17.9,
1338 Christopher Ave , Rock Springs Duplexes,78681,3,2,1042,10,6.60%,0,0.00%,1381.00,1.33,1381.00,1.33,0.000,1985,1985,152,14.00,7.20%,Yes in unit,0,1,32,0,12070,61243,7.6,17.9,
1338 Christopher Ave , Rock Springs Duplexes,78681,3,2,1063,10,6.60%,2,20.00%,1427.00,1.34,1427.00,1.34,0.000,1985,1985,152,14.00,7.20%,Yes in unit,0,1,32,0,12070,61243,7.6,17.9,
1338 Christopher Ave , Rock Springs Duplexes,78681,3,2,1096,8,5.30%,0,0.00%,1595.00,1.46,1595.00,1.46,0.000,1985,1985,152,14.00,7.20%,Yes in unit,0,1,32,0,12070,61243,7.6,17.9,
1338 Christopher Ave , Rock Springs Duplexes,78681,3,2,1097,10,6.60%,2,20.00%,1453.00,1.32,1453.00,1.32,0.000,1985,1985,152,14.00,7.20%,Yes in unit,0,1,32,0,12070,61243,7.6,17.9,
1338 Christopher Ave , Rock Springs Duplexes,78681,3,2,1130,10,6.60%,0,0.00%,1408.00,1.25,1408.00,1.25,0.000,1985,1985,152,14.00,7.20%,Yes in unit,0,1,32,0,12070,61243,7.6,17.9,
1338 Christopher Ave , Rock Springs Duplexes,78681,3,2,1134,19,12.50%,2,10.50%,1546.00,1.36,1546.00,1.36,0.000,1985,1985,152,14.00,7.20%,Yes in unit,0,1,32,0,12070,61243,7.6,17.9,
1338 Christopher Ave , Rock Springs Duplexes,78681,3,2,1175,1,0.70%,0,0.00%,1489.00,1.27,1489.00,1.27,0.000,1985,1985,152,14.00,7.20%,Yes in unit,0,1,32,0,12070,61243,7.6,17.9,
1338 Christopher Ave , Rock Springs Duplexes,78681,3,2,1183,1,0.70%,0,0.00%,1545.00,1.31,1545.00,1.31,0.000,1985,1985,152,14.00,7.20%,Yes in unit,0,1,32,0,12070,61243,7.6,17.9,
