Address,Building Name,Zip Code,Bed,Bath,Avg SF,# Units,Mix %,Units Available Units,Units Available Percent,Avg Asking Rent/Unit,Avg Asking Rent/SF,Avg Effective Rent/Unit,Avg Effective Rent/SF,Concessions %,Year Built,Year Renovated,Units,Lande (Acres),Vacancy %,Washer/Dryer,Walk in Closet,Hardwood/Vinyl Floor,Walk Score,Transit Score,1 Mile Population,1 Mile Median Household Income,Miles from Domain,Miles from Downtown,
1100 Hidden Valley Dr , Bartz Ranch Apartments,78665,2,2,1176,54,18.20%,8,14.80%,1410.00,1.20,1399.00,1.19,0.008,2017,2017,296,,6.80%,Yes in unit,0,0,29,0,11480,81154,14.7,22.7,
1100 Hidden Valley Dr , Bartz Ranch Apartments,78665,2,2,1251,32,10.80%,3,9.40%,1495.00,1.20,1483.00,1.19,0.008,2017,2017,296,,6.80%,Yes in unit,0,0,29,0,11480,81154,14.7,22.7,
1100 Hidden Valley Dr , Bartz Ranch Apartments,78665,2,2,1263,20,6.80%,0,0.00%,1535.00,1.22,1523.00,1.21,0.008,2017,2017,296,,6.80%,Yes in unit,0,0,29,0,11480,81154,14.7,22.7,
1100 Hidden Valley Dr , Bartz Ranch Apartments,78665,3,2,1446,6,2.00%,0,0.00%,1600.00,1.11,1580.00,1.09,0.012,2017,2017,296,,6.80%,Yes in unit,0,0,29,0,11480,81154,14.7,22.7,
1201 Hidden Valley Dr , Lone Oak,78665,1,1,768,27,8.90%,4,14.80%,1056.00,1.38,1050.00,1.37,0.006,2014,2014,304,9.34,4.60%,Yes in unit,1,1,4,0,11445,80441,14.7,22.7,
1201 Hidden Valley Dr , Lone Oak,78665,1,1,795,45,14.80%,1,2.20%,1069.00,1.34,1063.00,1.34,0.006,2014,2014,304,9.34,4.60%,Yes in unit,1,1,4,0,11445,80441,14.7,22.7,
1201 Hidden Valley Dr , Lone Oak,78665,1,1,839,56,18.40%,2,3.60%,1076.00,1.28,1070.00,1.28,0.006,2014,2014,304,9.34,4.60%,Yes in unit,1,1,4,0,11445,80441,14.7,22.7,
1201 Hidden Valley Dr , Lone Oak,78665,1,1,914,45,14.80%,3,6.70%,1196.00,1.31,1189.00,1.30,0.006,2014,2014,304,9.34,4.60%,Yes in unit,1,1,4,0,11445,80441,14.7,22.7,
1201 Hidden Valley Dr , Lone Oak,78665,2,2,1128,45,14.80%,13,28.90%,1313.00,1.16,1305.00,1.16,0.006,2014,2014,304,9.34,4.60%,Yes in unit,1,1,4,0,11445,80441,14.7,22.7,
1201 Hidden Valley Dr , Lone Oak,78665,2,2,1147,39,12.80%,5,12.80%,1368.00,1.19,1359.00,1.19,0.006,2014,2014,304,9.34,4.60%,Yes in unit,1,1,4,0,11445,80441,14.7,22.7,
1201 Hidden Valley Dr , Lone Oak,78665,2,2,1203,8,2.60%,0,0.00%,1283.00,1.07,1275.00,1.06,0.006,2014,2014,304,9.34,4.60%,Yes in unit,1,1,4,0,11445,80441,14.7,22.7,
1201 Hidden Valley Dr , Lone Oak,78665,2,2,1229,27,8.90%,2,7.40%,1480.00,1.20,1471.00,1.20,0.006,2014,2014,304,9.34,4.60%,Yes in unit,1,1,4,0,11445,80441,14.7,22.7,
1201 Hidden Valley Dr , Lone Oak,78665,3,2,1529,4,1.30%,0,0.00%,1676.00,1.10,1666.00,1.09,0.006,2014,2014,304,9.34,4.60%,Yes in unit,1,1,4,0,11445,80441,14.7,22.7,
1201 Hidden Valley Dr , Lone Oak,78665,3,2,1594,8,2.60%,2,25.00%,1626.00,1.02,1617.00,1.01,0.006,2014,2014,304,9.34,4.60%,Yes in unit,1,1,4,0,11445,80441,14.7,22.7,
1100 S Kenney Fort Blvd , Creekside at Kenney's Fort,78665,1,1,686,60,24.00%,1,1.70%,1040.00,1.52,1040.00,1.52,0.000,2016,2016,250,15.27,7.20%,Yes in unit,1,1,2,0,11649,104525,11.8,19.7,
1100 S Kenney Fort Blvd , Creekside at Kenney's Fort,78665,1,1,791,96,38.40%,3,3.10%,1045.00,1.32,1045.00,1.32,0.000,2016,2016,250,15.27,7.20%,Yes in unit,1,1,2,0,11649,104525,11.8,19.7,
1100 S Kenney Fort Blvd , Creekside at Kenney's Fort,78665,2,2,998,30,12.00%,6,20.00%,1385.00,1.39,1154.00,1.16,0.167,2016,2016,250,15.27,7.20%,Yes in unit,1,1,2,0,11649,104525,11.8,19.7,
1100 S Kenney Fort Blvd , Creekside at Kenney's Fort,78665,2,2,1094,48,19.20%,7,14.60%,1485.00,1.36,1238.00,1.13,0.167,2016,2016,250,15.27,7.20%,Yes in unit,1,1,2,0,11649,104525,11.8,19.7,
1100 S Kenney Fort Blvd , Creekside at Kenney's Fort,78665,3,2,1107,16,6.40%,1,6.30%,1555.00,1.40,1555.00,1.40,0.000,2016,2016,250,15.27,7.20%,Yes in unit,1,1,2,0,11649,104525,11.8,19.7,
1401 Satellite View , The Ace Apartments,78665,1,1,664,64,24.10%,52,81.30%,1079.00,1.63,989.00,1.49,0.083,2018,2018,266,10.95,16.50%,Yes in unit,1,1,11,0,11328,84044,15.6,23.6,
1401 Satellite View , The Ace Apartments,78665,1,1,687,18,6.80%,6,33.30%,1270.00,1.85,1164.00,1.69,0.083,2018,2018,266,10.95,16.50%,Yes in unit,1,1,11,0,11328,84044,15.6,23.6,
1401 Satellite View , The Ace Apartments,78665,1,1,751,62,23.30%,34,54.80%,1100.00,1.46,1008.00,1.34,0.083,2018,2018,266,10.95,16.50%,Yes in unit,1,1,11,0,11328,84044,15.6,23.6,
1401 Satellite View , The Ace Apartments,78665,1,1,827,15,5.60%,8,53.30%,1235.00,1.49,1132.00,1.37,0.083,2018,2018,266,10.95,16.50%,Yes in unit,1,1,11,0,11328,84044,15.6,23.6,
1401 Satellite View , The Ace Apartments,78665,1,1,828,9,3.40%,4,44.40%,1305.00,1.58,1196.00,1.44,0.083,2018,2018,266,10.95,16.50%,Yes in unit,1,1,11,0,11328,84044,15.6,23.6,
1401 Satellite View , The Ace Apartments,78665,1,1,945,2,0.80%,2,100.00%,1395.00,1.48,1279.00,1.35,0.084,2018,2018,266,10.95,16.50%,Yes in unit,1,1,11,0,11328,84044,15.6,23.6,
1401 Satellite View , The Ace Apartments,78665,2,2,1090,31,11.70%,30,96.80%,1445.00,1.33,1325.00,1.22,0.083,2018,2018,266,10.95,16.50%,Yes in unit,1,1,11,0,11328,84044,15.6,23.6,
1401 Satellite View , The Ace Apartments,78665,2,2,1202,29,10.90%,6,20.70%,1595.00,1.33,1462.00,1.22,0.083,2018,2018,266,10.95,16.50%,Yes in unit,1,1,11,0,11328,84044,15.6,23.6,
1401 Satellite View , The Ace Apartments,78665,2,2,1439,9,3.40%,6,66.70%,1819.00,1.26,1667.00,1.16,0.083,2018,2018,266,10.95,16.50%,Yes in unit,1,1,11,0,11328,84044,15.6,23.6,
1401 Satellite View , The Ace Apartments,78665,3,2,1390,27,10.20%,17,63.00%,1796.00,1.29,1646.00,1.18,0.083,2018,2018,266,10.95,16.50%,Yes in unit,1,1,11,0,11328,84044,15.6,23.6,
2800 Sunrise Ranch Rd , City North at Sunrise Ranch,78665,1,1,786,80,20.80%,8,10.00%,933.00,1.19,933.00,1.19,0.000,2008,2008,384,20.56,6.00%,Yes but not in unit,1,1,23,0,12706,63586,13.9,21.9,
2800 Sunrise Ranch Rd , City North at Sunrise Ranch,78665,1,1,797,120,31.30%,8,6.70%,968.00,1.21,968.00,1.21,0.000,2008,2008,384,20.56,6.00%,Yes but not in unit,1,1,23,0,12706,63586,13.9,21.9,
2800 Sunrise Ranch Rd , City North at Sunrise Ranch,78665,1,1,844,40,10.40%,2,5.00%,931.00,1.10,931.00,1.10,0.000,2008,2008,384,20.56,6.00%,Yes but not in unit,1,1,23,0,12706,63586,13.9,21.9,
2800 Sunrise Ranch Rd , City North at Sunrise Ranch,78665,2,2,1083,36,9.40%,0,0.00%,1136.00,1.05,1136.00,1.05,0.000,2008,2008,384,20.56,6.00%,Yes but not in unit,1,1,23,0,12706,63586,13.9,21.9,
2800 Sunrise Ranch Rd , City North at Sunrise Ranch,78665,2,2,1148,36,9.40%,8,22.20%,1236.00,1.08,1236.00,1.08,0.000,2008,2008,384,20.56,6.00%,Yes but not in unit,1,1,23,0,12706,63586,13.9,21.9,
2800 Sunrise Ranch Rd , City North at Sunrise Ranch,78665,2,2,1191,18,4.70%,8,44.40%,1266.00,1.06,1266.00,1.06,0.000,2008,2008,384,20.56,6.00%,Yes but not in unit,1,1,23,0,12706,63586,13.9,21.9,
2800 Sunrise Ranch Rd , City North at Sunrise Ranch,78665,2,2,1239,18,4.70%,6,33.30%,1321.00,1.07,1321.00,1.07,0.000,2008,2008,384,20.56,6.00%,Yes but not in unit,1,1,23,0,12706,63586,13.9,21.9,
2800 Sunrise Ranch Rd , City North at Sunrise Ranch,78665,3,2,1336,36,9.40%,6,16.70%,1374.00,1.03,1374.00,1.03,0.000,2008,2008,384,20.56,6.00%,Yes but not in unit,1,1,23,0,12706,63586,13.9,21.9,
401 Teravista Pky , 401 Teravista Apartment Homes,78665,1,1,676,60,18.80%,8,13.30%,950.00,1.41,950.00,1.41,0.000,2008,2008,320,16.00,5.00%,Yes in unit,1,1,54,0,6152,87295,16,24,
401 Teravista Pky , 401 Teravista Apartment Homes,78665,1,1,767,72,22.50%,12,16.70%,985.00,1.28,985.00,1.28,0.000,2008,2008,320,16.00,5.00%,Yes in unit,1,1,54,0,6152,87295,16,24,
401 Teravista Pky , 401 Teravista Apartment Homes,78665,1,1,800,24,7.50%,10,41.70%,1040.00,1.30,1040.00,1.30,0.000,2008,2008,320,16.00,5.00%,Yes in unit,1,1,54,0,6152,87295,16,24,
401 Teravista Pky , 401 Teravista Apartment Homes,78665,1,1,948,8,2.50%,0,0.00%,1283.00,1.35,1283.00,1.35,0.000,2008,2008,320,16.00,5.00%,Yes in unit,1,1,54,0,6152,87295,16,24,
401 Teravista Pky , 401 Teravista Apartment Homes,78665,2,1,962,48,15.00%,12,25.00%,1195.00,1.24,1195.00,1.24,0.000,2008,2008,320,16.00,5.00%,Yes in unit,1,1,54,0,6152,87295,16,24,
401 Teravista Pky , 401 Teravista Apartment Homes,78665,2,2,1062,36,11.30%,6,16.70%,1375.00,1.29,1375.00,1.29,0.000,2008,2008,320,16.00,5.00%,Yes in unit,1,1,54,0,6152,87295,16,24,
401 Teravista Pky , 401 Teravista Apartment Homes,78665,2,2,1166,48,15.00%,20,41.70%,1315.00,1.13,1315.00,1.13,0.000,2008,2008,320,16.00,5.00%,Yes in unit,1,1,54,0,6152,87295,16,24,
401 Teravista Pky , 401 Teravista Apartment Homes,78665,3,2,1364,24,7.50%,6,25.00%,1581.00,1.16,1581.00,1.16,0.000,2008,2008,320,16.00,5.00%,Yes in unit,1,1,54,0,6152,87295,16,24,
599 University Blvd , Arrington Ridge,78665,1,1,665,24,7.70%,3,12.50%,945.00,1.42,945.00,1.42,0.000,2016,2016,312,15.91,14.10%,Yes in unit,0,1,34,0,10897,80824,14.6,22.6,
599 University Blvd , Arrington Ridge,78665,1,1,692,24,7.70%,3,12.50%,945.00,1.37,945.00,1.37,0.000,2016,2016,312,15.91,14.10%,Yes in unit,0,1,34,0,10897,80824,14.6,22.6,
599 University Blvd , Arrington Ridge,78665,1,1,802,72,23.10%,0,0.00%,1020.00,1.27,1020.00,1.27,0.000,2016,2016,312,15.91,14.10%,Yes in unit,0,1,34,0,10897,80824,14.6,22.6,
599 University Blvd , Arrington Ridge,78665,2,2,1065,72,23.10%,6,8.30%,1305.00,1.23,1305.00,1.23,0.000,2016,2016,312,15.91,14.10%,Yes in unit,0,1,34,0,10897,80824,14.6,22.6,
599 University Blvd , Arrington Ridge,78665,2,2,1096,72,23.10%,6,8.30%,1305.00,1.19,1305.00,1.19,0.000,2016,2016,312,15.91,14.10%,Yes in unit,0,1,34,0,10897,80824,14.6,22.6,
599 University Blvd , Arrington Ridge,78665,3,2,1311,48,15.40%,3,6.30%,1560.00,1.19,1560.00,1.19,0.000,2016,2016,312,15.91,14.10%,Yes in unit,0,1,34,0,10897,80824,14.6,22.6,
1700 University Blvd , Bell at Teravista,78665,1,1,639,46,14.50%,2,4.40%,855.00,1.34,850.00,1.33,0.006,2008,2008,318,23.09,8.20%,Yes in unit,1,0,13,0,5736,96927,16.1,24.1,
1700 University Blvd , Bell at Teravista,78665,1,1,720,69,21.70%,5,7.30%,935.00,1.30,930.00,1.29,0.006,2008,2008,318,23.09,8.20%,Yes in unit,1,0,13,0,5736,96927,16.1,24.1,
1700 University Blvd , Bell at Teravista,78665,1,1,819,57,17.90%,5,8.80%,930.00,1.14,925.00,1.13,0.006,2008,2008,318,23.09,8.20%,Yes in unit,1,0,13,0,5736,96927,16.1,24.1,
1700 University Blvd , Bell at Teravista,78665,1,1,990,18,5.70%,3,16.70%,1155.00,1.17,1149.00,1.16,0.006,2008,2008,318,23.09,8.20%,Yes in unit,1,0,13,0,5736,96927,16.1,24.1,
1700 University Blvd , Bell at Teravista,78665,2,2,1046,20,6.30%,6,30.00%,1150.00,1.10,1150.00,1.10,0.000,2008,2008,318,23.09,8.20%,Yes in unit,1,0,13,0,5736,96927,16.1,24.1,
1700 University Blvd , Bell at Teravista,78665,2,2,1156,84,26.40%,6,7.10%,1180.00,1.02,1180.00,1.02,0.000,2008,2008,318,23.09,8.20%,Yes in unit,1,0,13,0,5736,96927,16.1,24.1,
1700 University Blvd , Bell at Teravista,78665,2,2,1208,18,5.70%,6,33.30%,1265.00,1.05,1265.00,1.05,0.000,2008,2008,318,23.09,8.20%,Yes in unit,1,0,13,0,5736,96927,16.1,24.1,
1700 University Blvd , Bell at Teravista,78665,3,2,1560,6,1.90%,1,16.70%,1545.00,0.99,1545.00,0.99,0.000,2008,2008,318,23.09,8.20%,Yes in unit,1,0,13,0,5736,96927,16.1,24.1,
300 S A W Grimes Blvd , Colonial Grand at Ashton Oaks,78664,1,1,719,154,42.50%,22,14.30%,928.00,1.29,928.00,1.29,0.000,2008,2008,362,25.28,5.00%,Yes in unit,1,1,23,0,17241,62905,11.5,19.2,
300 S A W Grimes Blvd , Colonial Grand at Ashton Oaks,78664,1,1,735,26,7.20%,4,15.40%,1028.00,1.40,1028.00,1.40,0.000,2008,2008,362,25.28,5.00%,Yes in unit,1,1,23,0,17241,62905,11.5,19.2,
300 S A W Grimes Blvd , Colonial Grand at Ashton Oaks,78664,2,2,959,142,39.20%,10,7.00%,1098.00,1.14,1082.00,1.13,0.014,2008,2008,362,25.28,5.00%,Yes in unit,1,1,23,0,17241,62905,11.5,19.2,
300 S A W Grimes Blvd , Colonial Grand at Ashton Oaks,78664,2,2,970,20,5.50%,2,10.00%,1133.00,1.17,1117.00,1.15,0.014,2008,2008,362,25.28,5.00%,Yes in unit,1,1,23,0,17241,62905,11.5,19.2,
300 S A W Grimes Blvd , Colonial Grand at Ashton Oaks,78664,3,3,1129,20,5.50%,2,10.00%,1488.00,1.32,1488.00,1.32,0.000,2008,2008,362,25.28,5.00%,Yes in unit,1,1,23,0,17241,62905,11.5,19.2,
101 E Bowman Dr , Bowmans Walk,78664,0,1,408,48,48.00%,8,16.70%,850.00,2.08,777.00,1.91,0.085,1984,1984,100,5.02,100.00%,Yes but not in unit,1,1,49,0,11800,55036,11.5,19.5,
101 E Bowman Dr , Bowmans Walk,78664,1,1,618,32,32.00%,6,18.80%,950.00,1.54,873.00,1.41,0.082,1984,1984,100,5.02,100.00%,Yes but not in unit,1,1,49,0,11800,55036,11.5,19.5,
101 E Bowman Dr , Bowmans Walk,78664,2,2,918,20,20.00%,8,40.00%,1095.00,1.19,1078.00,1.17,0.016,1984,1984,100,5.02,100.00%,Yes but not in unit,1,1,49,0,11800,55036,11.5,19.5,
1101 Georgetown St , Summerset,78664,0,1,473,28,14.30%,1,3.60%,795.00,1.68,788.00,1.67,0.008,1983,1983,196,9.70,8.70%,Yes but not in unit,1,1,60,0,16704,56538,11,19.8,
1101 Georgetown St , Summerset,78664,1,1,667,64,32.70%,1,1.60%,855.00,1.28,770.00,1.15,0.099,1983,1983,196,9.70,8.70%,Yes but not in unit,1,1,60,0,16704,56538,11,19.8,
1101 Georgetown St , Summerset,78664,2,1,863,42,21.40%,1,2.40%,975.00,1.13,878.00,1.02,0.100,1983,1983,196,9.70,8.70%,Yes but not in unit,1,1,60,0,16704,56538,11,19.8,
1101 Georgetown St , Summerset,78664,2,2,932,46,23.50%,3,6.50%,1025.00,1.10,923.00,0.99,0.100,1983,1983,196,9.70,8.70%,Yes but not in unit,1,1,60,0,16704,56538,11,19.8,
1101 Georgetown St , Summerset,78664,3,2,1100,16,8.20%,3,18.80%,1300.00,1.18,1246.00,1.13,0.042,1983,1983,196,9.70,8.70%,Yes but not in unit,1,1,60,0,16704,56538,11,19.8,
1500 Lawnmont Dr , Belmont Place,78664,1,1,702,90,47.90%,1,1.10%,969.00,1.38,969.00,1.38,0.000,1984,1984,188,8.98,4.80%,Yes but not in unit,1,0,48,0,14103,55043,9.1,17.3,
1500 Lawnmont Dr , Belmont Place,78664,2,1,850,66,35.10%,2,3.00%,1189.00,1.40,1189.00,1.40,0.000,1984,1984,188,8.98,4.80%,Yes but not in unit,1,0,48,0,14103,55043,9.1,17.3,
1500 Lawnmont Dr , Belmont Place,78664,2,2,960,32,17.00%,3,9.40%,1300.00,1.35,1300.00,1.35,0.000,1984,1984,188,8.98,4.80%,Yes but not in unit,1,0,48,0,14103,55043,9.1,17.3,
1501 Lawnmont Dr , Apple Creek Apartments,78664,1,1,460,24,13.60%,0,0.00%,675.00,1.47,675.00,1.47,0.000,1984,1984,176,8.98,0.00%,Yes but not in unit,1,0,43,0,13999,55035,9.2,17.4,
1501 Lawnmont Dr , Apple Creek Apartments,78664,1,1,600,24,13.60%,0,0.00%,725.00,1.21,725.00,1.21,0.000,1984,1984,176,8.98,0.00%,Yes but not in unit,1,0,43,0,13999,55035,9.2,17.4,
1501 Lawnmont Dr , Apple Creek Apartments,78664,2,1,700,64,36.40%,0,0.00%,775.00,1.11,775.00,1.11,0.000,1984,1984,176,8.98,0.00%,Yes but not in unit,1,0,43,0,13999,55035,9.2,17.4,
1501 Lawnmont Dr , Apple Creek Apartments,78664,2,2,860,64,36.40%,0,0.00%,850.00,0.99,850.00,0.99,0.000,1984,1984,176,8.98,0.00%,Yes but not in unit,1,0,43,0,13999,55035,9.2,17.4,
650 Louis Henna Blvd , Cordevalle,78664,1,1,624,72,25.70%,16,22.20%,920.00,1.47,805.00,1.29,0.125,2014,2014,280,,10.00%,Yes but not in unit,1,1,29,0,11894,69824,9.2,17.1,
650 Louis Henna Blvd , Cordevalle,78664,1,1,673,112,40.00%,18,16.10%,952.00,1.41,832.00,1.24,0.125,2014,2014,280,,10.00%,Yes but not in unit,1,1,29,0,11894,69824,9.2,17.1,
650 Louis Henna Blvd , Cordevalle,78664,1,1,767,24,8.60%,10,41.70%,1090.00,1.42,954.00,1.24,0.125,2014,2014,280,,10.00%,Yes but not in unit,1,1,29,0,11894,69824,9.2,17.1,
650 Louis Henna Blvd , Cordevalle,78664,2,2,1094,36,12.90%,14,38.90%,1465.00,1.34,1073.00,0.98,0.267,2014,2014,280,,10.00%,Yes but not in unit,1,1,29,0,11894,69824,9.2,17.1,
650 Louis Henna Blvd , Cordevalle,78664,2,2,1186,36,12.90%,20,55.60%,1430.00,1.21,1048.00,0.88,0.267,2014,2014,280,,10.00%,Yes but not in unit,1,1,29,0,11894,69824,9.2,17.1,
670 Louis Henna Blvd , Regency at Dell Ranch Apartments,78664,1,1,733,31,12.10%,2,6.50%,1025.00,1.40,1018.00,1.39,0.007,2001,2018,256,12.33,5.90%,Yes but not in unit,0,1,21,0,12376,69069,9.2,17.2,
670 Louis Henna Blvd , Regency at Dell Ranch Apartments,78664,1,1,871,32,12.50%,2,6.30%,1058.00,1.21,1051.00,1.21,0.007,2001,2018,256,12.33,5.90%,Yes but not in unit,0,1,21,0,12376,69069,9.2,17.2,
670 Louis Henna Blvd , Regency at Dell Ranch Apartments,78664,1,1,881,31,12.10%,0,0.00%,1095.00,1.24,1087.00,1.23,0.007,2001,2018,256,12.33,5.90%,Yes but not in unit,0,1,21,0,12376,69069,9.2,17.2,
670 Louis Henna Blvd , Regency at Dell Ranch Apartments,78664,1,1,889,32,12.50%,4,12.50%,1102.00,1.24,1094.00,1.23,0.007,2001,2018,256,12.33,5.90%,Yes but not in unit,0,1,21,0,12376,69069,9.2,17.2,
670 Louis Henna Blvd , Regency at Dell Ranch Apartments,78664,2,2,995,49,19.10%,14,28.60%,1246.00,1.25,1225.00,1.23,0.017,2001,2018,256,12.33,5.90%,Yes but not in unit,0,1,21,0,12376,69069,9.2,17.2,
670 Louis Henna Blvd , Regency at Dell Ranch Apartments,78664,2,2,1297,55,21.50%,8,14.60%,1380.00,1.06,1357.00,1.05,0.017,2001,2018,256,12.33,5.90%,Yes but not in unit,0,1,21,0,12376,69069,9.2,17.2,
670 Louis Henna Blvd , Regency at Dell Ranch Apartments,78664,3,2,1486,26,10.20%,6,23.10%,1742.00,1.17,1721.00,1.16,0.012,2001,2018,256,12.33,5.90%,Yes but not in unit,0,1,21,0,12376,69069,9.2,17.2,
700 Louis Henna Blvd , Madison at Dell Ranch Apartments,78664,1,1,491,16,6.70%,2,12.50%,810.00,1.65,792.00,1.61,0.022,1998,1998,240,13.23,2.90%,Yes but not in unit,0,0,31,0,11829,70175,9.2,17.2,
700 Louis Henna Blvd , Madison at Dell Ranch Apartments,78664,1,1,673,72,30.00%,3,4.20%,1057.00,1.57,1034.00,1.54,0.022,1998,1998,240,13.23,2.90%,Yes but not in unit,0,0,31,0,11829,70175,9.2,17.2,
700 Louis Henna Blvd , Madison at Dell Ranch Apartments,78664,1,1,797,56,23.30%,8,14.30%,1035.00,1.30,1013.00,1.27,0.022,1998,1998,240,13.23,2.90%,Yes but not in unit,0,0,31,0,11829,70175,9.2,17.2,
700 Louis Henna Blvd , Madison at Dell Ranch Apartments,78664,2,2,850,56,23.30%,5,8.90%,989.00,1.16,974.00,1.15,0.015,1998,1998,240,13.23,2.90%,Yes but not in unit,0,0,31,0,11829,70175,9.2,17.2,
700 Louis Henna Blvd , Madison at Dell Ranch Apartments,78664,2,2,997,40,16.70%,2,5.00%,1377.00,1.38,1356.00,1.36,0.015,1998,1998,240,13.23,2.90%,Yes but not in unit,0,0,31,0,11829,70175,9.2,17.2,
2501 Louis Henna Blvd , Montelena Apartment Homes,78664,1,1,700,28,12.10%,1,3.60%,1014.00,1.45,1014.00,1.45,0.000,1998,1998,232,18.76,4.30%,Yes in unit,1,1,2,0,10339,79946,11.4,19.3,
2501 Louis Henna Blvd , Montelena Apartment Homes,78664,2,2,1002,108,46.60%,4,3.70%,986.00,0.98,813.00,0.81,0.176,1998,1998,232,18.76,4.30%,Yes in unit,1,1,2,0,10339,79946,11.4,19.3,
2501 Louis Henna Blvd , Montelena Apartment Homes,78664,3,2,1143,72,31.00%,3,4.20%,1606.00,1.41,1606.00,1.41,0.000,1998,1998,232,18.76,4.30%,Yes in unit,1,1,2,0,10339,79946,11.4,19.3,
2501 Louis Henna Blvd , Montelena Apartment Homes,78664,4,2,1395,24,10.30%,1,4.20%,1500.00,1.08,1500.00,1.08,0.000,1998,1998,232,18.76,4.30%,Yes in unit,1,1,2,0,10339,79946,11.4,19.3,
1200 S Mays St , Derby Park,78664,1,1,517,40,20.00%,2,5.00%,859.00,1.66,859.00,1.66,0.000,1987,1987,200,10.01,4.00%,Yes but not in unit,1,1,62,0,13134,54860,9,17.2,
1200 S Mays St , Derby Park,78664,1,1,577,28,14.00%,1,3.60%,879.00,1.52,879.00,1.52,0.000,1987,1987,200,10.01,4.00%,Yes but not in unit,1,1,62,0,13134,54860,9,17.2,
1200 S Mays St , Derby Park,78664,1,1,664,52,26.00%,2,3.90%,899.00,1.35,899.00,1.35,0.000,1987,1987,200,10.01,4.00%,Yes but not in unit,1,1,62,0,13134,54860,9,17.2,
1200 S Mays St , Derby Park,78664,1,1,724,16,8.00%,1,6.30%,929.00,1.28,929.00,1.28,0.000,1987,1987,200,10.01,4.00%,Yes but not in unit,1,1,62,0,13134,54860,9,17.2,
1200 S Mays St , Derby Park,78664,2,1,850,32,16.00%,1,3.10%,1049.00,1.23,1049.00,1.23,0.000,1987,1987,200,10.01,4.00%,Yes but not in unit,1,1,62,0,13134,54860,9,17.2,
1200 S Mays St , Derby Park,78664,2,2,884,32,16.00%,1,3.10%,1149.00,1.30,1149.00,1.30,0.000,1987,1987,200,10.01,4.00%,Yes but not in unit,1,1,62,0,13134,54860,9,17.2,
1200 E Old Settlers Blvd , Springs at Round Rock,78664,0,1,525,16,6.20%,2,12.50%,918.00,1.75,912.00,1.74,0.007,2017,2017,260,19.25,5.40%,no,1,1,26,0,12391,59738,13,21,
1200 E Old Settlers Blvd , Springs at Round Rock,78664,0,1,623,16,6.20%,4,25.00%,934.00,1.50,927.00,1.49,0.007,2017,2017,260,19.25,5.40%,no,1,1,26,0,12391,59738,13,21,
1200 E Old Settlers Blvd , Springs at Round Rock,78664,1,1,760,30,11.50%,3,10.00%,1130.00,1.49,1122.00,1.48,0.007,2017,2017,260,19.25,5.40%,no,1,1,26,0,12391,59738,13,21,
1200 E Old Settlers Blvd , Springs at Round Rock,78664,1,1,816,15,5.80%,2,13.30%,1076.00,1.32,1068.00,1.31,0.007,2017,2017,260,19.25,5.40%,no,1,1,26,0,12391,59738,13,21,
1200 E Old Settlers Blvd , Springs at Round Rock,78664,1,1,857,15,5.80%,0,0.00%,1061.00,1.24,1054.00,1.23,0.007,2017,2017,260,19.25,5.40%,no,1,1,26,0,12391,59738,13,21,
1200 E Old Settlers Blvd , Springs at Round Rock,78664,1,1,909,15,5.80%,1,6.70%,1107.00,1.22,1099.00,1.21,0.007,2017,2017,260,19.25,5.40%,no,1,1,26,0,12391,59738,13,21,
1200 E Old Settlers Blvd , Springs at Round Rock,78664,2,2,1062,30,11.50%,2,6.70%,1371.00,1.29,1361.00,1.28,0.007,2017,2017,260,19.25,5.40%,no,1,1,26,0,12391,59738,13,21,
1200 E Old Settlers Blvd , Springs at Round Rock,78664,2,2,1088,30,11.50%,3,10.00%,1330.00,1.22,1320.00,1.21,0.007,2017,2017,260,19.25,5.40%,no,1,1,26,0,12391,59738,13,21,
1200 E Old Settlers Blvd , Springs at Round Rock,78664,2,2,1152,15,5.80%,0,0.00%,1317.00,1.14,1308.00,1.14,0.007,2017,2017,260,19.25,5.40%,no,1,1,26,0,12391,59738,13,21,
1200 E Old Settlers Blvd , Springs at Round Rock,78664,2,2,1185,30,11.50%,4,13.30%,1377.00,1.16,1367.00,1.15,0.007,2017,2017,260,19.25,5.40%,no,1,1,26,0,12391,59738,13,21,
1200 E Old Settlers Blvd , Springs at Round Rock,78664,3,2,1334,32,12.30%,0,0.00%,1630.00,1.22,1619.00,1.21,0.007,2017,2017,260,19.25,5.40%,no,1,1,26,0,12391,59738,13,21,
1200 E Old Settlers Blvd , Springs at Round Rock,78664,3,2,1430,16,6.20%,1,6.30%,1624.00,1.14,1613.00,1.13,0.007,2017,2017,260,19.25,5.40%,no,1,1,26,0,12391,59738,13,21,
1201 E Old Settlers St , Parkwood Terrace,78664,1,1,777,24,16.70%,0,0.00%,890.00,1.15,888.00,1.14,0.002,2001,2001,144,7.85,70.00%,Yes in unit,1,0,17,0,14264,60254,13.6,21.6,
1201 E Old Settlers St , Parkwood Terrace,78664,2,1,950,48,33.30%,0,0.00%,1104.00,1.16,1102.00,1.16,0.003,2001,2001,144,7.85,70.00%,Yes in unit,1,0,17,0,14264,60254,13.6,21.6,
